3944, -0.33, 0.53, 0.77, -41.27, -6.50, 4.93, 5.98
3979, -0.44, 0.45, 1.08, -62.21, -7.98, 26.36, 5.65
4014, -0.42, 0.46, 0.63, -95.10, -19.59, 22.49, 5.13
4049, -0.35, 0.33, 0.71, -47.01, 5.92, 36.56, 4.33
4084, -0.44, 0.37, 0.96, -71.22, -1.51, 37.19, 3.21
4119, -0.33, 0.31, 0.89, -92.37, 5.95, 50.55, 1.14
4154, -0.34, 0.17, 0.83, -89.92, 21.76, 55.95, 359.76
4189, -0.31, 0.34, 0.82, -86.84, 10.75, 53.44, 357.51
4223, -0.37, 0.19, 0.91, -84.69, 31.02, 73.51, 355.18
4258, -0.43, -0.06, 0.94, -56.89, 28.62, 63.33, 351.70
4294, -0.41, 0.17, 0.92, -70.04, 1.46, 31.63, 349.13
4329, -0.41, 0.15, 0.72, -89.79, 17.34, 40.18, 347.37
4364, -0.46, -0.14, 0.92, -30.25, 59.49, 39.99, 345.18
4398, -0.41, 0.18, 1.01, -2.58, 9.51, -1.15, 343.38
4433, -0.45, 0.24, 0.92, -45.31, 25.53, 29.77, 342.58
4468, -0.48, -0.21, 0.69, -25.36, 36.95, 36.70, 342.80
4503, -0.51, 0.03, 0.84, 0.82, 23.10, -2.16, 340.27
4538, -0.51, 0.05, 0.93, 9.56, 7.81, -5.91, 340.00
4573, 0.03, -0.19, 0.84, 2.85, 13.52, -18.17, 341.25
4608, -0.46, 0.13, 0.89, 8.34, -25.00, -34.50, 340.79
4643, -0.44, -0.09, 0.77, 55.47, 15.02, -0.55, 343.05
4678, -0.41, 0.20, 0.99, 79.03, 0.84, -21.47, 343.42
4713, -0.58, 0.25, 0.94, -29.76, 12.02, -17.98, 345.23
4748, -0.46, -0.17, 0.69, 12.54, 7.88, -5.75, 346.95
4783, -0.48, 0.21, 0.78, 106.09, -23.79, -22.02, 347.68
4817, -0.42, 0.12, 0.84, 126.79, -12.56, -26.04, 349.11
4853, -0.43, 0.36, 0.98, 66.63, -25.21, -55.37, 351.67
4888, -0.51, 0.28, 1.12, -0.35, -42.44, -20.15, 353.57
4923, -0.43, 0.20, 0.80, 59.73, -43.89, -17.30, 355.87
4957, -0.46, 0.33, 1.04, 34.46, -31.60, -39.33, 357.54
4992, -0.39, 0.37, 0.92, -79.96, -17.84, -25.81, 359.23
5028, -0.49, 0.18, 0.75, -31.51, -1.79, -22.67, 0.92
5063, -0.40, 0.21, 0.91, -39.05, 15.79, -34.53, 1.07
5097, -0.40, 0.27, 0.99, -4.07, -28.54, -2.15, 1.44
5132, -0.46, -0.01, 1.00, 21.25, -28.55, 8.83, 1.45
5167, -0.37, 0.25, 0.83, 13.28, 0.67, -27.08, 0.30
5202, -0.45, 0.17, 0.80, 12.83, 11.14, 9.70, 0.68
5237, -0.41, 0.35, 0.54, 48.84, 46.21, 25.96, 0.85
5272, -0.53, 0.31, 1.02, 41.82, 42.91, 41.85, 359.32
5307, -0.40, 0.14, 0.93, -42.76, 8.56, 40.31, 357.46
5342, -0.54, 0.36, 0.54, 8.51, 50.18, 49.34, 354.59
5377, -0.40, 0.27, 1.11, 31.53, 64.37, 59.06, 352.60
5411, -0.48, 0.36, 0.70, -49.29, 41.02, 60.83, 351.35
5446, -0.19, 0.17, 0.83, -8.15, 35.71, 84.04, 348.42
5482, -0.56, 0.20, 0.86, -14.28, 32.45, 46.40, 346.21
5517, -0.47, 0.33, 0.88, -7.37, 33.94, 56.33, 342.67
5551, -0.45, 0.23, 0.77, 15.66, 23.40, 39.78, 339.84
5586, -0.54, 0.31, 0.94, -26.23, -25.92, 63.75, 337.62
5621, -0.52, 0.41, 1.02, -23.08, 15.20, 48.85, 335.21
5657, -0.39, 0.21, 1.35, 13.86, 32.24, 55.52, 332.93
5691, 0.01, 0.63, 0.63, -43.22, -52.48, 21.66, 330.47
5726, -1.08, 1.69, 0.96, -27.06, -40.13, 36.45, 329.27
5761, 0.09, 0.28, 0.94, -96.47, 3.69, 9.36, 327.88
5796, -0.66, 0.27, 0.93, -89.95, 11.62, 20.24, 326.36
5831, -0.63, -0.15, 0.62, -10.63, -0.27, 38.52, 326.28
5866, -0.31, -0.45, 1.23, -72.28, -41.11, 39.48, 324.76
5900, -0.34, 0.09, 0.80, -116.12, -26.48, 11.99, 324.55
5936, -0.41, 0.09, 0.95, -59.35, -39.05, 16.69, 323.80
