2490, -0.04, 0.01, -1.02, -0.31, 2.40, -0.23, -7.80, 78.47, -21.01, 0.9993, 0.0087, -0.0120, -0.0332, 2.81, 359.05, 3.79, 354.32
2525, -0.03, 0.02, -1.02, -0.47, -2.46, -0.92, -7.80, 79.52, -22.66, 0.9994, 0.0086, -0.0104, -0.0328, 2.46, 359.05, 3.75, 354.40
2561, -0.04, 0.01, -1.03, 0.12, -4.92, -4.48, -7.80, 81.02, -22.36, 0.9988, 0.0073, -0.0241, -0.0431, 5.60, 359.29, 4.93, 354.50
2596, -0.04, 0.01, -1.02, -0.07, 2.95, -0.10, -7.80, 79.22, -22.36, 0.9986, 0.0079, -0.0241, -0.0475, 5.60, 359.23, 5.42, 354.38
2630, -0.04, 0.02, -1.02, -0.09, -0.48, -0.02, -7.50, 78.47, -22.66, 0.9987, 0.0081, -0.0191, -0.0472, 4.46, 359.18, 5.39, 354.54
2665, -0.03, 0.02, -1.02, -0.37, -3.01, 1.80, -6.30, 79.22, -23.11, 0.9986, 0.0078, -0.0264, -0.0458, 6.12, 359.25, 5.23, 355.45
2700, -0.02, 0.01, -1.01, -0.13, -1.89, 1.58, -7.05, 78.77, -21.61, 0.9986, 0.0070, -0.0322, -0.0410, 7.45, 359.35, 4.68, 354.88
2735, -0.03, 0.02, -1.03, 0.34, 2.95, 2.82, -6.90, 78.92, -21.91, 0.9989, 0.0086, -0.0291, -0.0351, 6.74, 359.13, 4.00, 355.00
2770, -0.03, 0.02, -1.03, -0.24, 2.80, 1.55, -9.30, 78.77, -23.41, 0.9993, 0.0088, -0.0226, -0.0297, 5.25, 359.07, 3.39, 353.26
2805, -0.02, 0.02, -1.03, 0.17, 0.34, 1.63, -7.50, 79.52, -23.41, 0.9995, 0.0099, -0.0179, -0.0248, 4.16, 358.92, 2.82, 354.61
2840, -0.02, 0.01, -1.02, -0.32, -1.50, 2.50, -8.55, 79.52, -22.36, 0.9995, 0.0095, -0.0208, -0.0200, 4.80, 358.96, 2.27, 353.86
2875, -0.02, 0.02, -1.03, -0.18, -4.04, -1.17, -7.95, 80.12, -23.26, 0.9994, 0.0091, -0.0280, -0.0190, 6.45, 359.02, 2.15, 354.33
2910, -0.03, 0.02, -1.02, -0.19, -4.14, -0.59, -7.05, 79.22, -23.11, 0.9989, 0.0086, -0.0390, -0.0229, 8.99, 359.12, 2.60, 354.91
2945, -0.03, 0.02, -1.02, -0.11, -7.09, -1.02, -7.95, 80.12, -21.91, 0.9982, 0.0083, -0.0542, -0.0253, 12.46, 359.20, 2.86, 354.33
2980, -0.03, 0.01, -1.03, -0.52, -9.25, -2.14, -7.50, 78.77, -22.36, 0.9966, 0.0078, -0.0764, -0.0297, 17.58, 359.36, 3.36, 354.56
3015, -0.04, 0.02, -1.01, -0.14, -2.11, -0.50, -7.50, 79.97, -22.66, 0.9952, 0.0074, -0.0924, -0.0314, 21.24, 359.48, 3.56, 354.64
3049, -0.04, 0.03, -1.02, -0.34, 0.46, -0.78, -8.10, 79.52, -22.66, 0.9955, 0.0076, -0.0890, -0.0320, 20.48, 359.45, 3.63, 354.18
3085, -0.03, 0.02, -1.02, -0.04, 0.37, -0.68, -8.85, 79.22, -21.61, 0.9949, 0.0074, -0.0944, -0.0344, 21.71, 359.52, 3.91, 353.62
3120, -0.03, 0.00, -1.01, -0.02, -1.10, 1.37, -8.55, 80.27, -21.31, 0.9948, 0.0076, -0.0965, -0.0327, 22.20, 359.48, 3.71, 353.92
3154, -0.03, 0.02, -1.03, -0.38, -1.58, -0.81, -7.05, 78.47, -23.11, 0.9940, 0.0071, -0.1038, -0.0325, 23.87, 359.57, 3.70, 354.86
3190, -0.04, 0.02, -1.01, -0.24, 0.08, -0.40, -8.10, 78.77, -21.01, 0.9935, 0.0069, -0.1083, -0.0341, 24.92, 359.63, 3.89, 354.13
3225, -0.04, 0.02, -1.03, -0.18, 0.89, -0.34, -7.05, 79.22, -21.01, 0.9936, 0.0070, -0.1073, -0.0344, 24.69, 359.62, 3.93, 354.91
3259, -0.03, 0.01, -1.01, -0.09, -1.59, -0.17, -7.80, 80.27, -21.31, 0.9931, 0.0070, -0.1111, -0.0358, 25.55, 359.65, 4.09, 354.45
3295, -0.04, 0.02, -1.01, -0.01, -1.85, 0.56, -7.95, 80.12, -22.51, 0.9922, 0.0071, -0.1192, -0.0355, 27.41, 359.67, 4.06, 354.33
3330, -0.03, 0.02, -1.02, -0.43, -2.11, -1.02, -7.05, 78.77, -22.66, 0.9912, 0.0069, -0.1273, -0.0358, 29.30, 359.72, 4.10, 354.88
3364, -0.03, 0.02, -1.03, -0.05, -0.81, 0.24, -7.05, 78.77, -22.36, 0.9905, 0.0068, -0.1325, -0.0363, 30.50, 359.77, 4.17, 354.88
3400, -0.03, 0.01, -1.03, -0.40, -0.27, -0.19, -7.80, 79.97, -21.61, 0.9901, 0.0067, -0.1350, -0.0367, 31.07, 359.80, 4.22, 354.43
3434, -0.03, 0.02, -1.03, -0.14, -1.60, -0.63, -9.15, 77.57, -21.46, 0.9892, 0.0066, -0.1411, -0.0382, 32.49, 359.86, 4.41, 353.27
3470, -0.03, 0.02, -1.03, -0.37, 2.44, -1.57, -8.10, 78.47, -21.31, 0.9883, 0.0066, -0.1471, -0.0404, 33.88, 359.93, 4.67, 354.11
3504, -0.03, 0.02, -1.03, -0.47, 1.81, -1.66, -7.80, 81.32, -23.41, 0.9883, 0.0068, -0.1459, -0.0439, 33.59, 359.97, 5.09, 354.52
3539, -0.02, 0.01, -1.03, -0.06, -0.09, -0.76, -7.50, 77.72, -22.06, 0.9875, 0.0068, -0.1507, -0.0462, 34.70, 0.03, 5.36, 354.49
3574, -0.03, 0.03, -1.01, 0.26, 0.53, -0.71, -7.65, 78.92, -21.16, 0.9865, 0.0080, -0.1558, -0.0496, 35.90, 359.98, 5.75, 354.46
3609, -0.02, 0.01, -1.01, -0.04, -2.70, 0.76, -8.40, 78.92, -22.51, 0.9856, 0.0078, -0.1616, -0.0490, 37.24, 0.02, 5.69, 353.92
3644, -0.03, 0.00, -1.02, -0.12, -1.89, 1.56, -8.40, 80.42, -22.96, 0.9845, 0.0072, -0.1695, -0.0441, 39.08, 0.04, 5.14, 354.04
3679, -0.03, 0.02, -1.03, -0.13, -1.93, 0.19, -7.50, 78.77, -22.36, 0.9831, 0.0070, -0.1777, -0.0428, 40.98, 0.09, 5.00, 354.56
3714, -0.03, 0.02, -1.02, -0.06, -2.92, 3.32, -6.00, 80.57, -22.06, 0.9814, 0.0064, -0.1885, -0.0366, 43.49, 0.08, 4.28, 355.74
3749, -0.04, 0.02, -1.02, -0.56, -2.76, 3.40, -5.85, 79.37, -23.26, 0.9795, 0.0039, -0.1998, -0.0269, 46.11, 0.19, 3.19, 355.78
3784, -0.04, 0.02, -1.01, -0.53, -2.69, 2.50, -8.70, 79.67, -22.21, 0.9773, 0.0009, -0.2110, -0.0193, 48.72, 0.40, 2.34, 353.77
