,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,compass_1,compass_2,compass_3
5504,15.45,41.56,0.3137,-0.1775,-0.2314,-0.9036,339.78,32.55,138.75,332.77
5505,15.0,40.96,0.3103,-0.1473,-0.2275,-0.9112,345.38,30.67,140.38,333.43
5506,15.0,40.66,0.3278,-0.0867,-0.2096,-0.9171,357.52,26.2,140.38,334.83
5507,16.5,40.66,0.3317,-0.088,-0.2042,-0.9168,357.02,25.65,139.89,332.61
5508,16.05,41.71,0.3171,-0.1056,-0.2069,-0.9195,352.79,26.64,141.09,331.96
5509,16.05,39.91,0.3121,-0.0846,-0.2025,-0.9243,356.56,25.31,142.3,337.19
5510,16.65,40.51,0.3256,-0.0338,-0.1903,-0.9255,7.04,22.02,141.92,334.48
5511,15.9,41.11,0.3395,-0.0055,-0.1877,-0.9217,13.49,20.62,140.78,330.08
5512,16.05,42.01,0.3185,-0.066,-0.2565,-0.9101,4.96,30.63,142.1,337.19
5513,16.05,42.01,0.294,-0.1184,-0.3107,-0.8961,356.61,38.81,143.08,336.29
5514,15.0,41.41,0.3051,-0.0604,-0.281,-0.9079,7.09,33.24,143.91,331.63
5515,16.5,40.96,0.2818,-0.0927,-0.2836,-0.9119,358.94,34.72,145.49,335.56
5516,16.65,39.76,0.253,-0.1425,-0.3057,-0.9068,348.08,39.05,146.71,338.82
5517,14.25,39.61,0.2552,-0.1335,-0.3045,-0.9079,350.01,38.57,146.85,334.65
5518,15.9,40.51,0.2892,-0.0446,-0.2396,-0.9257,6.43,28.04,146.1,335.64
5519,18.15,40.51,0.2995,-0.004,-0.2073,-0.9313,13.4,23.03,145.71,339.18
5520,15.45,42.16,0.2776,-0.0524,-0.2101,-0.936,2.13,24.99,147.2,340.73
5521,17.7,41.11,0.2716,-0.0483,-0.1999,-0.9402,2.04,23.72,147.98,339.98
5522,15.45,40.06,0.2862,0.0148,-0.1906,-0.9389,15.74,20.66,147.53,335.93
5523,16.8,41.41,0.2873,0.0166,-0.2146,-0.9333,17.75,23.31,147.61,339.44
5524,17.4,40.81,0.2634,-0.034,-0.253,-0.9303,8.03,29.33,149.44,337.52
5525,16.05,40.96,0.2429,-0.0597,-0.285,-0.9253,3.21,33.82,151.07,329.12
5526,15.9,42.16,0.242,-0.0466,-0.3055,-0.9197,7.12,35.85,151.67,326.56
5527,15.75,41.71,0.2539,-0.019,-0.3315,-0.9084,15.39,38.14,151.43,333.65
5528,16.8,40.96,0.2439,-0.0474,-0.3436,-0.9057,9.38,40.36,151.57,333.03
5529,15.3,41.41,0.2518,-0.041,-0.319,-0.9128,9.83,37.25,150.82,332.99
5530,15.3,40.96,0.2651,-0.0026,-0.2984,-0.9169,17.64,33.72,150.43,332.99
