,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
81,0.4165,0.7056,-0.5616,0.115,35.57,228.85,291.1,310.29
82,0.4168,0.7048,-0.5625,0.1143,35.85,228.82,291.0,308.98
83,0.4181,0.7037,-0.5632,0.1133,36.3,228.89,290.96,306.53
84,0.4191,0.7026,-0.5638,0.1136,36.46,229.01,290.88,308.41
85,0.4191,0.7015,-0.5646,0.1159,36.2,229.14,290.68,306.71
86,0.4188,0.7006,-0.5658,0.1169,36.14,229.15,290.47,306.25
87,0.4196,0.6994,-0.5667,0.1167,36.41,229.21,290.36,307.13
88,0.421,0.6981,-0.5674,0.116,36.82,229.3,290.3,310.33
89,0.4215,0.6972,-0.5683,0.1152,37.15,229.3,290.21,308.73
90,0.4213,0.6966,-0.5694,0.1144,37.37,229.2,290.08,309.17
91,0.42,0.6963,-0.571,0.113,37.59,228.95,289.91,310.24
92,0.4189,0.696,-0.5725,0.1114,37.88,228.7,289.75,306.79
93,0.4184,0.6954,-0.5738,0.1103,38.14,228.56,289.61,311.48
94,0.4191,0.6943,-0.5747,0.1097,38.47,228.57,289.51,310.38
95,0.4216,0.6928,-0.5748,0.1089,39.0,228.81,289.55,308.79
96,0.4247,0.6909,-0.5746,0.1098,39.32,229.22,289.58,305.58
97,0.4283,0.689,-0.5736,0.1135,39.14,229.86,289.61,304.14
98,0.4312,0.6871,-0.573,0.1167,39.01,230.39,289.59,306.03
99,0.4323,0.6857,-0.5737,0.1174,39.16,230.55,289.47,306.79
100,0.4324,0.6845,-0.575,0.1177,39.29,230.55,289.28,305.78
101,0.4337,0.683,-0.5757,0.1182,39.49,230.72,289.18,302.86
102,0.4408,0.6802,-0.5717,0.1273,38.64,232.15,289.42,310.33
103,0.4623,0.6725,-0.5539,0.1653,33.69,237.24,290.28,306.15
104,0.4914,0.6592,-0.5255,0.2188,26.36,244.36,291.19,307.91
105,0.5138,0.6463,-0.5023,0.2569,21.22,249.76,291.7,302.95
106,0.5204,0.6423,-0.4978,0.2623,20.86,250.97,291.9,305.84
107,0.5134,0.6472,-0.5077,0.2447,23.59,248.85,291.88,306.5
108,0.5009,0.6543,-0.5206,0.2233,26.53,245.83,291.59,305.84
109,0.488,0.6609,-0.5325,0.2036,29.04,242.91,291.19,309.93
110,0.4774,0.6658,-0.5427,0.1854,31.48,240.4,290.83,308.38
111,0.4696,0.6691,-0.5507,0.1688,33.88,238.35,290.59,306.87
112,0.4689,0.6693,-0.5515,0.1674,34.08,238.17,290.56,305.22
113,0.4686,0.6691,-0.5508,0.1716,33.3,238.4,290.43,305.74
114,0.4688,0.6685,-0.5509,0.1729,33.15,238.51,290.35,305.86
115,0.4685,0.6685,-0.5527,0.168,34.1,238.15,290.36,303.57
116,0.4692,0.6687,-0.5552,0.1567,36.29,237.5,290.61,306.37
117,0.4685,0.6692,-0.5594,0.1406,39.27,236.39,290.81,303.57
118,0.4643,0.6699,-0.566,0.1238,42.15,234.77,290.63,306.35
119,0.4579,0.671,-0.5731,0.1079,44.67,232.95,290.23,307.04
120,0.4553,0.6714,-0.5755,0.1036,45.28,232.34,290.03,306.35
121,0.456,0.6706,-0.5748,0.1093,44.37,232.76,289.9,308.59
122,0.4583,0.6691,-0.5737,0.1146,43.74,233.38,289.88,304.59
123,0.4591,0.6683,-0.5744,0.113,44.21,233.36,289.86,305.84
124,0.4595,0.6675,-0.5754,0.1101,44.89,233.21,289.83,305.84
125,0.459,0.667,-0.5765,0.1094,45.09,233.09,289.7,304.62
126,0.4555,0.6675,-0.5791,0.1077,45.13,232.53,289.36,306.96
127,0.45,0.6686,-0.5828,0.1041,45.33,231.59,288.91,309.41
128,0.4444,0.6696,-0.5868,0.0992,45.74,230.56,288.46,307.6
129,0.4419,0.6696,-0.5889,0.0978,45.84,230.15,288.18,305.1
130,0.4414,0.6689,-0.59,0.0977,45.93,230.06,288.01,309.17
131,0.4409,0.6684,-0.5914,0.0956,46.37,229.83,287.88,304.49
132,0.4395,0.6681,-0.5933,0.092,46.97,229.41,287.71,305.2
133,0.4378,0.6678,-0.5956,0.0875,47.74,228.89,287.52,308.66
134,0.4391,0.6667,-0.5961,0.0861,48.25,228.93,287.5,305.77
135,0.4407,0.6655,-0.5962,0.0861,48.52,229.11,287.5,306.35
136,0.4415,0.6642,-0.5971,0.0858,48.82,229.17,287.4,308.54
137,0.4418,0.663,-0.5983,0.0853,49.1,229.14,287.23,307.54
138,0.4435,0.6615,-0.5984,0.0878,48.99,229.48,287.16,308.73
139,0.4444,0.6603,-0.5984,0.091,48.63,229.79,287.05,310.08
140,0.4446,0.6591,-0.5993,0.0936,48.35,229.94,286.84,306.79
141,0.4444,0.6582,-0.6005,0.0933,48.51,229.87,286.66,307.52
142,0.4462,0.6567,-0.6008,0.093,48.91,230.04,286.64,307.44
143,0.4481,0.655,-0.6012,0.0934,49.23,230.28,286.59,305.69
144,0.4488,0.6537,-0.6023,0.0918,49.75,230.24,286.5,302.1
145,0.4476,0.6531,-0.6043,0.0893,50.21,229.89,286.27,303.45
146,0.4457,0.6526,-0.6064,0.0878,50.43,229.53,285.98,303.8
147,0.4459,0.6518,-0.607,0.0889,50.35,229.6,285.85,309.75
148,0.4469,0.6505,-0.6073,0.0911,50.21,229.84,285.76,304.49
149,0.4479,0.6492,-0.6079,0.0921,50.3,230.0,285.64,309.01
150,0.4494,0.6477,-0.6083,0.0921,50.6,230.16,285.58,304.7
151,0.4503,0.6465,-0.609,0.0912,51.0,230.19,285.52,303.93
152,0.4502,0.6455,-0.6104,0.0893,51.49,230.03,285.37,303.94
153,0.45,0.6448,-0.6118,0.0863,52.13,229.77,285.26,308.38
154,0.4492,0.6442,-0.6136,0.0819,52.93,229.36,285.13,304.06
155,0.4481,0.6437,-0.6156,0.0772,53.77,228.88,284.96,308.47
156,0.4481,0.6427,-0.6169,0.0743,54.44,228.67,284.85,305.28
157,0.4495,0.6414,-0.6175,0.0727,55.03,228.71,284.82,308.41
158,0.4504,0.64,-0.6183,0.0724,55.33,228.77,284.72,304.7
159,0.45,0.6389,-0.6197,0.0723,55.47,228.68,284.49,308.02
160,0.4509,0.6377,-0.6204,0.0724,55.7,228.76,284.4,310.43
161,0.4516,0.6364,-0.6211,0.0721,55.98,228.8,284.29,306.87
162,0.4519,0.6352,-0.6222,0.0718,56.23,228.78,284.13,308.66
163,0.452,0.6343,-0.623,0.0725,56.24,228.81,283.99,305.28
164,0.4511,0.6337,-0.6242,0.0734,56.07,228.72,283.77,306.15
165,0.4497,0.6331,-0.6258,0.0733,56.07,228.5,283.5,308.06
166,0.4494,0.6323,-0.6269,0.0724,56.3,228.38,283.35,305.84
167,0.4503,0.6313,-0.6274,0.0717,56.65,228.43,283.3,310.6
168,0.4517,0.6301,-0.6277,0.0701,57.2,228.47,283.31,307.81
169,0.4534,0.6288,-0.6281,0.0675,57.98,228.48,283.35,303.94
170,0.4551,0.6274,-0.6285,0.0651,58.74,228.52,283.37,305.84
171,0.4564,0.6261,-0.629,0.0641,59.18,228.58,283.34,302.44
172,0.4563,0.6252,-0.6299,0.0641,59.3,228.54,283.18,306.23
173,0.4557,0.6244,-0.6311,0.0644,59.31,228.45,282.97,305.1
174,0.4558,0.6234,-0.6319,0.065,59.35,228.47,282.83,306.79
175,0.4563,0.6224,-0.6325,0.0659,59.37,228.57,282.71,306.37
176,0.4565,0.6212,-0.6335,0.0666,59.42,228.61,282.54,305.88
177,0.4562,0.6203,-0.6346,0.0663,59.57,228.51,282.35,305.74
178,0.4571,0.6192,-0.6351,0.0656,59.92,228.56,282.31,306.87
179,0.4594,0.6177,-0.635,0.0655,60.33,228.81,282.36,311.7
180,0.4612,0.6158,-0.6354,0.0651,60.79,228.99,282.32,305.18
181,0.4619,0.6145,-0.6364,0.0645,61.14,228.99,282.19,307.91
182,0.461,0.6137,-0.6378,0.0641,61.24,228.81,281.96,306.87
183,0.4597,0.6131,-0.6393,0.0635,61.33,228.57,281.71,308.2
184,0.4591,0.6124,-0.6405,0.0621,61.61,228.36,281.53,305.88
185,0.4591,0.6115,-0.6416,0.0608,61.96,228.24,281.4,305.84
186,0.4591,0.6105,-0.6426,0.0593,62.36,228.1,281.26,311.9
187,0.4603,0.6091,-0.6432,0.0584,62.8,228.15,281.19,304.59
188,0.4619,0.6075,-0.6436,0.0584,63.16,228.33,281.15,306.19
189,0.464,0.6056,-0.6438,0.0585,63.56,228.56,281.13,305.16
190,0.4654,0.604,-0.6443,0.0581,63.95,228.68,281.07,306.53
191,0.4657,0.6027,-0.6454,0.0574,64.28,228.63,280.91,305.28
192,0.4659,0.6015,-0.6465,0.0564,64.63,228.55,280.76,310.52
193,0.4663,0.6003,-0.6474,0.0554,65.01,228.49,280.63,304.24
194,0.4662,0.5992,-0.6486,0.0546,65.26,228.38,280.45,302.86
195,0.4651,0.5982,-0.6503,0.0539,65.41,228.13,280.16,302.88
196,0.4643,0.5974,-0.6518,0.0525,65.7,227.89,279.93,304.62
197,0.4648,0.5963,-0.6525,0.0511,66.15,227.82,279.85,302.24
198,0.4653,0.5949,-0.6535,0.0496,66.62,227.74,279.71,307.05
199,0.4647,0.5937,-0.6551,0.048,67.0,227.49,279.46,304.49
200,0.4631,0.593,-0.657,0.0471,67.11,227.16,279.12,305.77
201,0.4613,0.5923,-0.659,0.0464,67.14,226.82,278.78,307.26
202,0.4607,0.5914,-0.6602,0.0455,67.35,226.64,278.57,309.17
203,0.4606,0.5904,-0.6613,0.0449,67.59,226.54,278.4,307.74
204,0.4605,0.5893,-0.6623,0.0439,67.89,226.41,278.23,300.55
205,0.4602,0.5884,-0.6635,0.0426,68.18,226.24,278.05,307.48
206,0.4601,0.5874,-0.6645,0.0418,68.44,226.13,277.89,312.41
207,0.4605,0.5864,-0.6651,0.041,68.75,226.09,277.79,307.52
208,0.46,0.5854,-0.6664,0.04,68.99,225.9,277.58,305.2
209,0.4588,0.5846,-0.6681,0.0387,69.19,225.59,277.28,308.98
210,0.458,0.5836,-0.6695,0.038,69.35,225.38,277.03,306.96
211,0.4577,0.5825,-0.6707,0.0378,69.47,225.28,276.82,304.45
212,0.4576,0.5815,-0.6716,0.0376,69.63,225.22,276.66,300.56
213,0.4578,0.5803,-0.6725,0.0373,69.84,225.18,276.5,305.77
214,0.4577,0.5795,-0.6734,0.0362,70.12,225.04,276.35,307.26
215,0.4588,0.5785,-0.6735,0.0356,70.45,225.11,276.34,305.74
216,0.4588,0.5775,-0.6743,0.0354,70.6,225.05,276.19,306.96
217,0.4575,0.5769,-0.6758,0.035,70.61,224.81,275.92,306.23
218,0.4549,0.5766,-0.6778,0.0348,70.41,224.41,275.53,304.99
219,0.4524,0.5763,-0.6797,0.0347,70.19,224.03,275.17,307.15
220,0.4515,0.5758,-0.6807,0.0345,70.2,223.87,274.97,310.7
221,0.4511,0.5752,-0.6816,0.034,70.3,223.74,274.81,303.47
222,0.4501,0.5748,-0.6826,0.0331,70.41,223.51,274.62,311.74
223,0.4492,0.5743,-0.6837,0.032,70.53,223.28,274.44,303.58
224,0.4487,0.5736,-0.6846,0.031,70.73,223.11,274.27,305.74
225,0.4489,0.5728,-0.6852,0.0298,71.06,223.0,274.17,309.75
226,0.4493,0.5719,-0.6857,0.029,71.33,222.97,274.09,304.55
227,0.4488,0.5711,-0.6868,0.0289,71.38,222.84,273.89,304.14
228,0.4477,0.5703,-0.6881,0.0287,71.4,222.64,273.62,311.11
229,0.4481,0.5692,-0.6887,0.0286,71.57,222.65,273.51,306.37
230,0.4489,0.5681,-0.6892,0.0282,71.85,222.67,273.44,305.58
231,0.4491,0.5671,-0.6899,0.0276,72.08,222.61,273.31,304.45
232,0.4489,0.5663,-0.6908,0.0263,72.36,222.44,273.15,305.3
233,0.4502,0.5652,-0.6908,0.0253,72.8,222.52,273.16,307.57
234,0.4522,0.5638,-0.6906,0.025,73.24,222.72,273.2,300.14
235,0.4541,0.5622,-0.6907,0.0247,73.67,222.88,273.19,307.91
236,0.4549,0.561,-0.6912,0.0246,73.91,222.94,273.1,304.03
237,0.4543,0.5602,-0.6922,0.025,73.88,222.85,272.89,305.84
238,0.4536,0.5594,-0.6934,0.0246,73.95,222.68,272.68,308.41
239,0.4535,0.5587,-0.694,0.024,74.13,222.58,272.55,307.57
240,0.4535,0.5578,-0.6947,0.0232,74.34,222.49,272.42,307.34
241,0.4541,0.5568,-0.6952,0.0224,74.67,222.46,272.33,303.33
242,0.4552,0.5557,-0.6953,0.0217,75.02,222.53,272.32,302.81
243,0.4569,0.5544,-0.6953,0.0213,75.43,222.67,272.33,307.18
244,0.4585,0.5532,-0.6952,0.0209,75.83,222.82,272.36,307.18
245,0.4589,0.5522,-0.6958,0.0204,76.06,222.8,272.25,306.95
246,0.4582,0.5514,-0.6968,0.0195,76.21,222.59,272.05,307.52
247,0.4579,0.5506,-0.6978,0.0186,76.42,222.43,271.87,307.65
248,0.4587,0.5494,-0.6981,0.018,76.75,222.45,271.8,309.32
249,0.4594,0.5483,-0.6986,0.0176,77.01,222.46,271.7,308.06
250,0.4593,0.5473,-0.6995,0.017,77.2,222.35,271.53,307.37
251,0.4596,0.5463,-0.7,0.0156,77.58,222.24,271.43,310.24
252,0.4608,0.5452,-0.7001,0.0145,78.02,222.29,271.42,307.18
253,0.4621,0.5437,-0.7004,0.0142,78.4,222.38,271.36,306.72
254,0.4627,0.5424,-0.7011,0.0142,78.6,222.4,271.22,310.14
255,0.4619,0.5416,-0.7022,0.0141,78.6,222.23,270.98,305.84
256,0.4609,0.5409,-0.7034,0.014,78.59,222.05,270.74,302.41
257,0.4607,0.54,-0.7042,0.0135,78.75,221.93,270.57,306.37
258,0.4613,0.539,-0.7046,0.0128,79.03,221.91,270.49,306.71
259,0.4614,0.5381,-0.7053,0.012,79.26,221.81,270.35,305.58
260,0.4615,0.5371,-0.7059,0.0113,79.52,221.73,270.23,304.59
261,0.4626,0.536,-0.7061,0.0108,79.83,221.8,270.19,305.84
262,0.4635,0.5349,-0.7063,0.0106,80.1,221.87,270.15,308.79
263,0.4633,0.5341,-0.7071,0.0103,80.21,221.77,269.98,305.3
264,0.4625,0.5331,-0.7084,0.01,80.28,221.57,269.72,306.3
265,0.4621,0.5322,-0.7093,0.0094,80.41,221.42,269.53,305.1
266,0.4631,0.5311,-0.7096,0.0091,80.71,221.47,269.47,309.7
267,0.4641,0.5299,-0.7098,0.009,80.98,221.56,269.42,306.37
268,0.4645,0.5285,-0.7105,0.0095,81.09,221.6,269.26,308.23
269,0.4641,0.5277,-0.7114,0.0085,81.28,221.41,269.06,308.54
270,0.4652,0.5266,-0.7115,0.0075,81.69,221.43,269.05,304.62
271,0.4666,0.5253,-0.7116,0.0063,82.21,221.49,269.03,304.78
272,0.4676,0.5239,-0.712,0.0055,82.6,221.5,268.94,309.47
273,0.4671,0.5228,-0.7131,0.0056,82.64,221.37,268.7,304.14
274,0.4654,0.5221,-0.7147,0.0059,82.46,221.1,268.35,305.12
275,0.4646,0.5212,-0.7159,0.0056,82.5,220.91,268.1,303.45
276,0.4649,0.5203,-0.7163,0.005,82.74,220.85,267.99,307.26
277,0.4653,0.5193,-0.7168,0.0046,82.95,220.82,267.89,310.14
278,0.4655,0.5182,-0.7175,0.0038,83.22,220.74,267.74,306.95
279,0.4661,0.5171,-0.7179,0.0031,83.51,220.7,267.64,307.18
280,0.4676,0.5159,-0.7178,0.0029,83.87,220.85,267.65,303.57
281,0.4688,0.5147,-0.7179,0.0026,84.19,220.95,267.63,303.57
282,0.4688,0.5135,-0.7187,0.0023,84.35,220.86,267.44,302.88
283,0.4677,0.5126,-0.7201,0.0018,84.4,220.59,267.14,306.96
284,0.4669,0.5118,-0.7212,0.0014,84.43,220.39,266.88,303.47
285,0.4668,0.5108,-0.7219,0.0008,84.63,220.27,266.71,305.69
286,0.4678,0.5097,-0.7221,0.0004,84.93,220.33,266.67,308.13
287,0.4688,0.5083,-0.7224,0.0002,85.24,220.39,266.6,305.78
