,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
80,0.9571,-0.1788,-0.2278,0.0115,52.23,22.04,3.8,313.4
81,0.9695,-0.1304,-0.2071,0.0102,47.69,15.78,2.15,319.18
82,0.9706,-0.1653,-0.1752,-0.0024,39.67,20.0,3.82,317.3
83,0.9653,-0.1797,-0.1896,-0.0032,42.81,21.96,4.58,319.18
84,0.973,-0.1306,-0.1897,0.0151,43.82,15.52,1.24,319.18
85,0.9789,-0.1133,-0.1688,0.0215,39.18,13.17,359.76,318.18
86,0.9714,-0.0906,-0.2138,0.0502,50.23,9.83,356.28,318.26
87,0.9714,-0.0629,-0.2177,0.071,51.19,5.81,352.96,316.81
88,0.9695,-0.0479,-0.2314,0.0646,54.11,4.06,353.35,319.45
89,0.9632,-0.0476,-0.2585,0.0558,60.45,4.17,354.49,316.51
90,0.9659,-0.0678,-0.2445,0.0512,57.29,6.93,355.71,315.73
91,0.9579,-0.0593,-0.2756,0.0537,64.59,5.71,355.23,317.9
92,0.9525,-0.0417,-0.2941,0.0666,68.92,2.8,352.87,318.16
93,0.9545,-0.0421,-0.286,0.0736,67.04,2.63,351.97,317.12
94,0.9437,-0.0169,-0.3192,0.0851,74.51,358.39,349.15,316.44
95,0.9428,-0.0225,-0.3209,0.087,75.04,359.04,349.13,315.18
96,0.9488,-0.0324,-0.3068,0.0672,71.83,1.43,352.36,316.07
97,0.9573,-0.0582,-0.2779,0.0539,65.15,5.55,355.17,317.33
98,0.9645,-0.0665,-0.2501,0.0524,58.61,6.72,355.54,316.94
99,0.9708,-0.0711,-0.2244,0.046,52.49,7.52,356.33,318.37
100,0.9747,-0.0585,-0.2112,0.0444,49.27,6.01,356.1,317.46
101,0.979,-0.0344,-0.1928,0.0558,44.84,2.84,354.04,317.76
102,0.9812,-0.0045,-0.1805,0.0674,41.58,359.05,351.96,313.8
103,0.985,0.0204,-0.1533,0.0769,34.79,356.16,350.49,318.62
104,0.9874,0.0329,-0.1273,0.0879,28.43,354.83,349.18,317.03
105,0.9888,0.0245,-0.1121,0.0953,25.06,355.9,348.53,316.88
106,0.9888,0.0355,-0.0979,0.1068,21.45,354.68,347.18,319.18
107,0.9867,0.0425,-0.097,0.1232,20.84,353.7,345.19,318.62
108,0.9839,0.0438,-0.1122,0.1324,24.14,353.19,343.96,318.72
109,0.9814,0.056,-0.1218,0.1376,25.85,351.53,343.08,316.08
110,0.9794,0.0708,-0.1211,0.1453,25.02,349.74,342.0,316.44
111,0.9804,0.0593,-0.1058,0.1555,21.79,351.26,341.14,316.05
112,0.9795,0.0474,-0.1032,0.1662,21.48,352.57,340.04,315.55
113,0.9785,0.0452,-0.1118,0.1671,23.52,352.61,339.86,315.53
114,0.9794,0.0459,-0.1068,0.1652,22.38,352.67,340.13,316.66
115,0.9767,0.0394,-0.1052,0.1831,22.03,353.25,338.11,317.29
116,0.9718,0.037,-0.111,0.2047,23.13,353.12,335.52,319.12
117,0.9664,0.0569,-0.118,0.221,23.41,350.47,333.26,317.39
118,0.9573,0.0937,-0.1401,0.2349,25.92,345.42,330.76,315.18
119,0.9432,0.1473,-0.1742,0.2415,29.84,338.0,328.36,316.46
120,0.9393,0.1471,-0.1623,0.2641,26.26,338.17,326.05,312.48
121,0.9284,0.1516,-0.1882,0.2823,30.59,336.29,322.94,315.92
