time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
-0.5815,-0.6453,-0.4943,0.0348,296.0,247.73,53.12,322.84
-0.5383,-0.6575,-0.5269,-0.0155,288.01,238.73,56.69,321.75
-0.4865,-0.7147,-0.4977,-0.0693,288.62,230.47,52.45,321.13
-0.4461,-0.7464,-0.4854,-0.0905,290.75,224.64,51.49,322.8
-0.4,-0.7412,-0.5072,-0.1826,274.85,213.62,55.34,320.55
-0.3235,-0.7713,-0.5182,-0.1785,284.73,203.37,59.73,323.17
-0.1887,-0.8293,-0.4774,-0.2208,293.76,187.0,57.77,322.98
-0.1115,-0.8454,-0.4182,-0.3131,282.98,174.62,54.52,322.78
-0.1289,-0.8534,-0.3295,-0.3827,264.85,177.26,43.43,319.88
-0.1024,-0.8109,-0.3812,-0.432,257.72,164.92,57.6,321.16
-0.0016,-0.8276,-0.3821,-0.4111,274.04,154.8,59.62,320.41
0.0648,-0.8626,-0.352,-0.3574,290.36,153.73,52.77,321.85
0.0664,-0.8456,-0.4081,-0.3378,297.72,153.05,59.16,320.97
0.0752,-0.8286,-0.4201,-0.3624,294.98,149.41,62.88,320.49
0.1134,-0.8169,-0.4069,-0.3926,293.37,142.83,64.45,322.01
0.1711,-0.7693,-0.4106,-0.4586,291.19,129.14,72.93,320.02
0.1991,-0.7182,-0.422,-0.5162,290.02,118.24,82.23,319.77
0.2213,-0.6894,-0.4453,-0.5267,296.12,114.16,86.72,320.6
0.2219,-0.6614,-0.5147,-0.4984,308.95,116.65,91.69,321.1
0.2235,-0.6496,-0.578,-0.4403,323.44,122.65,93.38,320.02
0.19,-0.6212,-0.6936,-0.3113,345.85,137.7,99.04,321.28
0.068,-0.5457,-0.8055,-0.2208,344.9,154.3,113.5,320.6
-0.0947,-0.4861,-0.8512,-0.1737,321.46,167.54,122.66,320.48
-0.1108,-0.4575,-0.851,-0.233,312.61,161.19,127.45,322.66
-0.0937,-0.3318,-0.9167,-0.202,324.38,161.12,143.19,320.7
-0.1903,-0.2415,-0.9474,-0.0885,312.44,175.25,152.4,322.11
-0.2053,-0.2417,-0.9445,-0.0856,309.18,176.04,152.19,321.28
-0.1545,-0.1796,-0.9698,-0.0588,322.57,176.45,159.6,323.54
-0.1916,-0.1131,-0.9731,0.0601,317.88,189.9,164.89,322.8
-0.1649,-0.1179,-0.9786,0.036,323.38,186.61,165.19,322.8
-0.1485,-0.0604,-0.9837,-0.0812,324.86,171.44,174.3,322.99
-0.1614,-0.0056,-0.9653,-0.2053,323.42,155.44,183.35,324.61
-0.2236,0.0043,-0.9479,-0.227,310.09,151.53,186.94,322.11
-0.3194,0.0139,-0.918,-0.2347,289.11,147.32,192.43,324.64
-0.3661,-0.0304,-0.9027,-0.2241,275.17,148.82,188.51,324.55
-0.4886,-0.0461,-0.8527,-0.1787,243.61,150.48,190.5,322.76
-0.7206,-0.0442,-0.6771,-0.1427,197.47,58.55,286.22,325.32
-0.9323,-0.0148,-0.3201,-0.1675,286.0,5.72,337.72,319.98
-0.9757,-0.1282,-0.0536,-0.1693,342.97,346.43,341.33,320.55
-0.8747,0.1263,0.4344,0.1733,91.5,32.17,36.28,318.7
-0.7613,0.1516,0.5954,0.2071,115.09,62.84,67.52,321.06
-0.6927,0.1708,0.6652,0.2202,115.62,83.89,88.06,320.08
-0.5742,0.2593,0.7126,0.3087,82.32,101.5,105.89,318.92
-0.4073,0.4192,0.7049,0.4019,27.45,110.81,109.03,318.29
-0.2317,0.5126,0.7433,0.3621,356.92,129.1,111.55,319.85
-0.1734,0.5942,0.7078,0.3405,341.68,135.82,103.7,319.57
-0.1078,0.6454,0.6688,0.3529,323.71,139.97,98.7,318.22
0.0446,0.7005,0.6627,0.261,309.74,161.75,90.93,316.81
0.1963,0.721,0.6366,0.1908,296.66,182.71,82.11,316.18
0.2729,0.7033,0.6521,0.0751,305.03,198.8,81.04,319.46
0.2286,0.6583,0.7172,-0.0041,322.38,198.91,91.74,315.2
0.0454,0.5907,0.7996,0.0983,338.24,173.95,107.67,313.3
-0.1068,0.488,0.854,0.1458,4.59,159.3,120.09,316.5
-0.346,0.3723,0.8552,0.1016,62.14,149.76,124.36,316.06
-0.5301,0.2406,0.8022,0.1322,103.8,130.77,121.47,317.24
-0.6598,0.1839,0.7208,0.1059,131.64,105.11,98.64,317.88
-0.7318,0.1204,0.6706,0.0155,155.8,70.02,61.46,319.25
-0.798,-0.1031,0.5875,-0.0861,133.82,317.34,318.75,318.4
-0.855,-0.3054,0.4051,-0.1075,77.68,308.53,326.38,317.4
-0.8966,-0.2751,0.3222,-0.1287,60.93,318.04,331.73,317.16
-0.9345,-0.2112,0.2533,-0.134,49.27,329.4,336.85,318.04
-0.9886,-0.1147,0.0923,-0.0307,20.22,346.35,355.23,318.5
-0.9861,0.0712,-0.0599,0.1378,344.17,7.18,15.42,319.92
-0.9543,0.1861,-0.1021,0.2102,328.29,18.95,22.18,323.97
-0.8796,0.29,-0.1571,0.3428,303.27,27.22,35.58,324.3
-0.848,0.4181,-0.1919,0.2631,293.9,46.52,19.93,323.28
-0.8429,0.432,-0.1886,0.2594,294.36,48.62,19.05,328.43
-0.8022,0.5447,-0.1824,0.1631,303.89,67.33,4.09,326.14
-0.6625,0.7183,-0.2107,-0.0259,332.0,97.15,339.67,327.34
-0.2944,0.8287,-0.3014,-0.3683,51.31,128.03,307.37,328.35
0.0019,0.7486,-0.3581,-0.558,113.61,133.55,282.73,332.81
0.0686,0.7263,-0.4361,-0.5268,111.21,140.43,276.55,329.99
0.251,0.5982,-0.4377,-0.6226,149.41,111.96,233.1,327.01
0.3354,0.5681,-0.381,-0.6477,165.12,60.3,179.28,328.68
0.2481,0.6229,-0.3677,-0.6444,160.28,105.7,233.87,334.86
0.2684,0.6246,-0.3346,-0.6526,168.35,92.41,221.86,334.58
0.4208,0.5706,-0.3108,-0.633,159.47,330.88,88.29,333.89
0.5607,0.5073,-0.2089,-0.6201,119.43,322.1,73.46,337.23
0.6876,0.4279,-0.0229,-0.5861,64.44,318.4,68.36,334.01
0.7463,0.3716,0.0562,-0.5493,37.85,319.34,65.64,339.71
0.7346,0.3114,0.0836,-0.5969,28.83,324.86,73.61,340.57
0.7188,0.2411,-0.015,-0.6519,39.26,339.68,80.86,344.37
0.7407,0.2161,-0.2075,-0.6014,69.12,355.09,76.62,342.46
0.7213,0.2533,-0.1804,-0.6189,70.01,350.01,78.11,339.7
0.7665,0.2212,0.0791,-0.5978,16.46,334.02,74.0,342.94
0.7906,0.1457,0.3506,-0.4805,311.05,321.45,71.25,343.01
0.8656,0.0001,0.2342,-0.4426,312.17,346.88,56.95,346.91
0.865,-0.1601,-0.1202,-0.4602,6.96,22.85,56.73,346.34
0.8231,-0.1862,-0.3054,-0.4411,39.57,37.75,63.2,348.02
0.7888,-0.1274,-0.4431,-0.4064,73.1,44.31,69.83,346.44
0.6495,-0.0685,-0.6858,-0.3212,115.73,84.6,106.02,343.97
0.5792,-0.068,-0.775,-0.2436,119.67,114.76,129.54,339.1
0.6207,-0.086,-0.7348,-0.2597,120.32,100.96,115.57,334.02
0.6527,-0.1189,-0.7011,-0.2614,117.08,91.24,103.26,336.97
0.7603,-0.1185,-0.5812,-0.2648,110.36,58.74,71.18,338.09
0.917,-0.0954,-0.3134,-0.2275,64.2,22.02,34.28,336.23
0.9679,-0.2118,0.0236,-0.1333,348.26,23.94,14.44,342.31
0.93,-0.2665,0.2419,0.0742,311.55,35.66,342.97,342.29
0.9315,0.068,0.3298,0.1377,281.43,357.34,344.13,349.85
0.8294,0.4216,0.3604,0.0659,278.39,300.54,14.9,339.26
0.7927,0.5528,0.2416,0.0874,302.68,288.07,8.42,336.52
0.727,0.5435,0.0213,0.419,301.78,297.86,317.87,334.01
0.4592,0.3963,-0.2297,0.7611,313.82,309.12,253.32,334.06
-0.0359,0.1058,-0.3197,0.9409,334.36,322.47,180.01,335.21
-0.5142,-0.2143,-0.3268,0.7635,358.98,314.0,112.29,337.65
-0.7034,-0.1158,-0.5527,0.4316,274.68,299.51,88.72,336.76
-0.7939,0.0206,-0.6042,0.0647,211.66,350.39,16.59,341.13
-0.8797,0.0514,-0.4727,0.0078,247.3,8.62,356.39,348.23
-0.9514,-0.0209,-0.3068,-0.016,288.47,357.89,358.76,352.79
-0.981,-0.1366,-0.1358,-0.0226,328.36,344.2,359.57,350.73
-0.9517,-0.2971,-0.0508,0.0582,352.88,325.08,8.12,347.51
-0.8755,-0.4672,-0.0541,0.1105,0.98,303.89,14.13,342.87
-0.8023,-0.5774,-0.1363,0.0657,343.58,287.41,15.39,341.57
-0.7824,-0.5985,-0.0846,0.1496,5.34,285.63,19.62,332.02
-0.8086,-0.5041,0.093,0.2888,52.41,301.93,24.58,335.96
-0.7195,-0.4074,0.2605,0.4985,102.7,328.48,53.98,335.11
-0.5069,-0.397,0.412,0.6448,136.75,20.45,117.62,328.39
-0.3618,-0.5541,0.4087,0.6285,165.75,65.35,179.18,328.09
-0.2234,-0.6081,0.4591,0.6079,141.63,119.34,240.74,322.46
-0.1949,-0.5556,0.5998,0.5418,113.41,127.87,236.04,327.12
-0.2968,-0.4691,0.6842,0.473,116.41,135.59,223.27,317.54
-0.3484,-0.395,0.7045,0.4757,120.14,127.65,206.82,318.13
-0.4265,-0.4031,0.6378,0.4988,142.24,115.36,195.91,318.44
-0.4075,-0.4688,0.5702,0.5377,151.29,111.21,202.87,318.33
-0.379,-0.4956,0.5085,0.5934,153.64,92.11,193.75,323.63
-0.2927,-0.4844,0.4598,0.6843,137.54,72.67,187.12,321.46
-0.196,-0.5107,0.3184,0.7742,132.58,46.75,183.12,322.09
-0.1494,-0.5031,0.215,0.8236,126.5,26.93,176.21,320.68
-0.1925,-0.4617,0.0661,0.8634,110.7,353.57,151.49,322.59
-0.3719,-0.3505,-0.0364,0.8588,70.19,336.73,125.71,322.13
-0.4422,-0.2872,-0.0525,0.8481,52.29,337.53,119.64,327.9
-0.3975,-0.2605,-0.0478,0.8785,49.64,341.29,127.15,326.69
-0.4344,-0.2238,-0.1055,0.8661,34.45,336.74,123.16,322.16
-0.4983,-0.2129,-0.1201,0.8318,27.12,334.92,115.12,329.12
-0.4496,-0.2137,-0.0761,0.8639,35.02,340.16,121.92,327.8
-0.308,-0.2431,-0.0266,0.9194,51.02,347.29,140.07,332.83
-0.1559,-0.2837,0.1193,0.9386,69.46,9.49,164.11,328.51
0.0162,-0.3673,0.2562,0.894,80.84,38.11,196.57,320.83
0.0806,-0.5081,0.4196,0.7479,87.62,79.49,229.28,318.31
-0.0076,-0.5331,0.604,0.5924,79.7,112.84,235.8,323.2
-0.0259,-0.4045,0.7282,0.5526,58.01,116.32,219.86,322.07
-0.1503,-0.2214,0.9105,0.3152,48.83,146.13,199.8,318.06
-0.2479,-0.0761,0.8154,0.5174,57.78,112.96,171.3,318.18
-0.2243,0.3731,0.4005,0.8062,310.08,63.77,133.22,317.68
-0.2444,0.6054,0.013,0.7573,228.8,49.81,110.91,328.64
-0.2062,0.5332,0.1679,0.8031,256.15,52.54,124.18,334.58
-0.3217,0.5286,0.1667,0.7677,270.47,57.1,109.26,330.8
-0.4857,0.5328,0.1317,0.6803,286.67,60.29,87.17,332.78
-0.6097,0.3822,0.2375,0.6525,335.85,52.52,87.91,332.95
-0.6144,0.207,0.3586,0.6716,18.71,48.25,99.3,326.57
-0.6798,0.1426,0.3207,0.6439,29.24,38.85,92.07,327.8
-0.6621,0.1734,0.3018,0.6637,19.51,39.75,93.67,323.6
-0.6603,0.2532,0.3438,0.6179,16.22,50.07,89.99,323.4
-0.6863,0.235,0.3122,0.6134,16.13,45.44,86.96,323.5
-0.6581,0.1804,0.3488,0.6424,26.29,44.75,94.05,328.71
-0.5887,0.0979,0.4502,0.6643,47.14,51.1,108.3,322.32
-0.5773,0.0526,0.3972,0.7115,45.13,42.67,110.8,321.87
-0.5377,0.0126,0.3456,0.7689,41.26,35.62,116.76,323.62
-0.4852,0.0333,0.3084,0.8175,28.34,33.6,122.92,322.56
-0.4774,0.1272,0.2136,0.8428,358.79,28.78,120.79,321.59
-0.4508,0.1472,0.1784,0.8621,349.32,26.25,123.54,322.96
-0.3961,0.1624,0.2096,0.8791,346.28,30.05,129.64,327.08
-0.3637,0.1876,0.1589,0.8985,334.4,25.64,133.0,324.78
-0.328,0.1843,0.0546,0.9249,324.46,13.47,138.84,323.7
-0.3633,0.1671,-0.105,0.9105,315.26,355.67,137.36,327.19
-0.4143,0.1391,-0.1858,0.88,312.99,346.64,132.37,328.82
-0.3386,0.1158,-0.1558,0.9207,322.82,347.3,141.7,334.23
-0.1835,0.1364,-0.0236,0.9732,328.18,0.25,158.61,333.61
-0.116,0.17,0.0158,0.9785,321.58,4.27,165.75,334.52
-0.0964,0.185,0.0391,0.9772,318.53,6.88,167.48,329.04
0.0504,0.176,0.2173,0.9588,317.88,25.31,181.24,331.78
0.1845,0.168,0.3403,0.9066,309.03,37.94,194.12,324.33
0.2647,0.136,0.4286,0.8531,305.37,47.9,202.15,324.9
0.3472,0.1896,0.7183,0.5723,268.57,98.54,190.32,324.16
0.2813,0.231,0.9182,0.1559,287.87,168.85,155.4,318.22
0.1304,0.3489,0.9219,-0.1068,340.91,196.98,137.12,319.75
-0.0276,0.4098,0.872,-0.2663,30.9,207.28,133.42,311.26
-0.1091,0.3544,0.7937,-0.4822,61.99,233.39,147.75,312.91
-0.0679,0.3201,0.7397,-0.5881,56.98,250.1,153.39,311.84
0.0044,0.2252,0.7429,-0.6304,32.22,257.67,159.27,309.45
0.0558,0.1547,0.787,-0.5947,11.03,253.27,161.86,309.17
0.0008,0.0971,0.7929,-0.6016,13.27,253.86,171.03,308.86
0.0093,0.1594,0.8162,-0.5552,18.63,247.15,164.09,311.48
0.0772,0.2902,0.8004,-0.5188,20.46,242.8,146.39,310.17
0.1344,0.2946,0.8384,-0.4384,3.78,234.57,142.25,309.56
0.1043,0.2512,0.9034,-0.3315,357.49,220.66,148.45,306.05
0.0905,0.3291,0.9224,-0.1806,354.49,203.16,140.16,311.86
0.1738,0.3663,0.9122,-0.0586,328.17,194.1,134.26,310.14
0.2152,0.2899,0.9313,0.0473,309.27,182.33,144.89,310.66
0.2618,0.1744,0.9407,0.1267,295.06,169.97,161.92,313.7
0.2868,0.1018,0.8206,0.4836,290.62,116.56,187.71,314.79
0.3021,-0.0022,0.3878,0.8708,333.36,44.07,212.85,317.87
0.2787,-0.0039,0.1746,0.9444,349.68,19.47,211.99,324.38
0.133,-0.07,0.1124,0.9822,12.36,13.93,196.17,326.41
-0.0356,-0.0867,0.0245,0.9953,20.08,2.48,176.12,329.77
-0.1311,-0.0643,-0.0286,0.9889,13.75,355.75,164.64,330.48
-0.2055,-0.1136,-0.1378,0.9622,18.63,341.57,154.38,334.86
-0.2749,-0.1587,-0.284,0.9047,15.06,322.67,143.65,339.44
-0.1718,-0.1319,-0.2713,0.9378,17.74,325.88,156.51,341.18
-0.0182,-0.0721,-0.1228,0.9896,15.9,345.64,176.89,338.88
0.1114,-0.014,-0.0443,0.9927,4.31,355.13,192.71,335.46
0.2092,0.0535,-0.0727,0.9737,351.55,350.54,204.6,333.1
0.3,0.097,-0.0109,0.9489,339.54,355.4,215.5,332.1
0.3717,0.1481,0.1807,0.8985,312.79,13.55,222.11,331.82
0.3657,0.1124,0.2542,0.8883,314.65,23.6,219.95,329.27
0.3768,0.0982,0.3066,0.8685,312.64,30.05,220.46,328.63
0.3958,0.1536,0.288,0.8584,301.11,25.35,222.74,328.63
0.3988,0.1971,0.2158,0.8692,298.05,14.73,225.18,326.86
0.37,0.1563,0.1196,0.908,316.29,6.28,223.13,326.4
0.2678,0.1046,-0.0138,0.9577,337.75,355.18,211.71,326.31
0.1672,-0.0057,-0.1516,0.9742,7.07,342.9,198.94,332.46
0.1361,-0.1508,-0.1557,0.9667,39.01,343.99,193.26,332.12
0.2395,-0.2263,0.0158,0.944,49.64,8.76,210.41,334.23
0.4753,-0.2766,0.2377,0.8007,25.07,41.25,246.12,334.29
0.7114,-0.3742,0.2815,0.5241,359.06,55.84,286.99,330.26
0.6338,-0.5596,0.3047,0.4385,12.0,79.1,295.6,329.62
0.6022,-0.6458,0.322,0.3414,6.09,92.39,304.08,331.85
0.4114,-0.7963,0.3026,0.3242,31.01,117.93,309.02,336.87
0.2254,-0.8784,0.2905,0.3052,47.82,141.16,314.86,337.87
0.1604,-0.8897,0.3269,0.2755,45.31,149.7,313.44,338.53
-0.0349,-0.8718,0.4426,0.2071,46.15,172.35,304.6,344.37
-0.2466,-0.8242,0.4566,0.2266,73.55,194.43,306.85,344.55
-0.404,-0.7032,0.5624,0.1613,85.88,211.9,295.53,343.52
-0.4042,-0.6424,0.6358,0.1408,88.02,208.23,282.2,347.42
-0.3037,-0.5485,0.7714,0.1087,72.02,191.8,254.67,347.58
-0.1144,-0.5227,0.841,0.0795,32.0,179.15,243.61,345.77
0.0823,-0.423,0.9019,0.0284,345.71,173.0,230.69,342.24
0.2482,-0.2885,0.9232,-0.0544,301.38,177.19,215.45,337.36
0.3491,-0.0515,0.9203,-0.169,277.4,201.48,178.23,338.2
0.3256,0.2983,0.8549,-0.2724,313.58,225.9,131.59,330.15
0.0817,0.6442,0.712,-0.2671,26.33,209.92,99.26,330.05
-0.0252,0.7966,0.5077,-0.3271,66.28,200.41,71.15,330.7
-0.0177,0.8197,0.338,-0.4621,100.62,206.34,57.36,326.09
-0.1642,0.633,0.2272,-0.7216,162.35,308.49,160.71,324.56
-0.1617,0.4534,0.0969,-0.8711,110.42,357.76,199.87,320.59
0.2007,0.2464,-0.1346,-0.9385,62.21,10.34,158.75,317.73
0.4915,-0.0452,-0.406,-0.7691,38.49,45.12,122.89,313.68
0.6944,-0.3007,-0.5823,-0.2971,78.1,79.53,79.21,308.82
0.6498,-0.459,-0.5468,0.2611,143.69,93.55,31.47,307.18
0.3763,-0.559,-0.3288,0.6616,161.63,354.79,234.83,297.78
-0.0233,-0.5118,-0.0045,0.8587,123.01,356.21,174.63,294.78
-0.318,-0.2651,0.2299,0.8807,75.65,17.41,146.3,292.71
-0.5632,-0.1132,0.3318,0.7483,65.78,26.08,113.89,289.65
-0.7469,-0.0686,0.3555,0.5578,74.82,21.73,80.94,281.73
-0.7707,-0.019,0.4557,0.4449,92.01,32.79,74.23,290.77
-0.7613,0.0145,0.5045,0.407,98.3,41.42,75.87,300.07
-0.7463,-0.0361,0.4929,0.4458,100.34,37.02,79.52,294.62
-0.6696,-0.1762,0.4686,0.5487,110.34,29.15,94.14,288.43
-0.4757,-0.4465,0.3212,0.6864,133.43,2.35,112.09,293.7
-0.0443,-0.7245,-0.0111,0.6877,169.15,237.76,55.0,298.41
0.4643,-0.6504,-0.3322,0.501,147.55,103.85,353.21,294.89
0.6833,-0.5023,-0.4842,0.2152,122.78,86.83,23.68,293.96
0.7201,-0.3745,-0.5836,0.025,118.46,85.71,51.64,295.73
0.726,-0.0836,-0.6653,-0.1526,140.28,72.75,78.42,297.0
0.7736,-0.0789,-0.5643,-0.2772,112.07,51.12,67.99,298.51
0.8541,-0.1087,-0.3345,-0.3831,58.43,30.43,56.42,299.52
0.8341,0.006,-0.2387,-0.4973,47.68,14.4,64.66,302.94
0.8305,0.0405,-0.0432,-0.5538,13.41,358.88,67.33,304.24
0.8507,-0.0228,0.2517,-0.461,306.61,347.51,59.88,307.14
0.7414,-0.139,0.5229,-0.3968,235.3,333.24,72.69,310.11
0.7469,-0.2294,0.4979,-0.3764,227.2,355.4,56.5,309.07
0.694,-0.2821,0.5401,-0.3834,209.95,354.99,61.68,310.79
0.6766,-0.3296,0.5173,-0.4073,208.8,5.67,57.69,310.42
0.6636,-0.3421,0.4111,-0.523,230.75,3.22,74.44,313.2
0.6386,-0.2888,0.4194,-0.577,239.35,346.56,92.03,313.22
0.6195,-0.2893,0.49,-0.5408,226.16,334.04,99.56,311.01
0.5726,-0.2602,0.5074,-0.589,234.85,319.39,116.96,313.82
0.5534,-0.2187,0.3675,-0.7147,267.99,335.94,114.83,316.17
0.4723,-0.2364,0.2541,-0.8103,282.92,346.05,124.43,311.59
0.389,-0.2208,0.1913,-0.8737,295.35,348.91,135.22,311.3
0.2857,-0.1616,0.1857,-0.9262,312.17,344.02,149.12,314.31
0.1776,-0.1753,0.2845,-0.9256,309.63,329.12,165.34,315.5
0.1587,-0.2483,0.3371,-0.8941,293.11,321.1,171.98,315.17
0.1164,-0.2942,0.2673,-0.9102,286.58,328.56,176.1,319.29
-0.0264,-0.2997,0.1599,-0.9402,292.58,337.64,190.07,314.84
-0.1124,-0.2884,0.103,-0.9453,297.05,342.28,198.59,318.81
-0.1826,-0.313,-0.0047,-0.932,288.37,352.52,204.6,316.27
-0.265,-0.2432,-0.0168,-0.9329,304.87,353.68,213.26,317.1
-0.229,-0.2859,-0.0409,-0.9296,293.23,356.23,208.81,317.35
-0.2081,-0.3708,-0.1058,-0.8989,269.43,2.92,204.85,318.08
-0.239,-0.3365,-0.0614,-0.9088,280.28,356.33,210.79,315.81
-0.2576,-0.3037,0.0453,-0.9162,295.57,343.56,216.19,316.27
-0.2761,-0.3371,0.0453,-0.8989,288.94,340.8,220.36,317.0
-0.3261,-0.3399,0.042,-0.8811,290.28,338.88,227.32,314.84
-0.3509,-0.2873,0.1184,-0.8833,309.78,333.02,229.45,316.65
-0.3675,-0.2491,0.1293,-0.8867,319.44,333.92,229.77,319.42
-0.3959,-0.2338,0.1141,-0.8807,322.49,335.93,232.45,317.56
-0.4031,-0.2526,0.0901,-0.875,316.65,337.12,233.91,320.43
-0.3261,-0.298,0.0163,-0.897,296.8,344.78,224.29,317.98
-0.254,-0.2628,-0.1222,-0.9228,293.66,6.31,208.89,319.1
-0.1908,-0.2146,-0.1317,-0.9488,305.55,10.89,200.1,318.77
-0.1304,-0.0581,0.007,-0.9897,346.99,358.32,195.1,317.34
-0.0582,0.0796,0.0807,-0.9918,19.27,351.2,185.97,318.42
-0.0505,0.1379,0.0998,-0.9841,32.7,349.03,184.3,317.8
-0.0915,0.2196,0.0862,-0.9675,52.29,351.9,188.92,317.79
-0.119,0.2686,0.117,-0.9487,65.02,349.19,191.14,318.7
-0.1505,0.2265,0.1289,-0.9536,56.17,348.38,195.01,320.95
-0.091,0.1651,0.1427,-0.9717,40.58,344.71,187.95,321.67
0.0169,0.0434,0.2258,-0.9731,8.82,333.76,176.98,319.61
-0.0234,-0.0587,0.4106,-0.9096,349.94,311.18,185.23,319.42
-0.053,-0.0811,0.5543,-0.8267,351.36,291.93,190.26,321.16
-0.0313,-0.0837,0.5874,-0.8044,348.77,287.3,188.59,326.94
-0.0327,-0.0855,0.6085,-0.7883,349.1,284.24,189.0,324.74
-0.0444,-0.0756,0.6677,-0.7393,353.97,275.57,189.6,324.11
-0.0421,-0.06,0.6764,-0.7328,356.46,274.46,188.22,323.8
-0.0622,-0.0125,0.6606,-0.748,7.28,277.3,186.3,326.44
-0.0764,-0.0126,0.587,-0.8059,7.97,288.14,187.95,324.38
-0.0726,-0.0579,0.5627,-0.8214,358.46,291.1,190.63,323.03
-0.1423,-0.1463,0.6567,-0.726,357.07,275.43,203.51,326.04
-0.2609,-0.2241,0.715,-0.6086,11.52,262.9,219.9,325.12
-0.4646,-0.4286,0.6167,-0.4692,19.68,262.54,258.24,328.15
-0.6042,-0.6251,0.3813,-0.3143,7.79,265.84,300.85,327.68
-0.6582,-0.7292,0.1728,-0.0723,14.02,262.88,339.53,330.99
-0.7557,-0.6341,-0.0173,0.1633,20.84,281.46,15.86,331.7
-0.6953,-0.5801,-0.2673,0.3295,1.21,280.61,50.2,335.33
-0.5841,-0.5403,-0.3398,0.5014,16.65,280.78,74.39,339.3
-0.6305,-0.4395,-0.375,0.5183,358.02,289.42,79.54,338.7
-0.6965,-0.3519,-0.4422,0.4422,324.51,292.29,76.78,339.08
-0.7522,-0.2315,-0.4888,0.3763,291.73,300.08,73.23,340.19
-0.7743,-0.1398,-0.5164,0.3382,270.33,307.09,70.39,339.19
-0.7933,-0.0615,-0.497,0.3464,263.54,318.45,66.46,345.46
-0.9206,0.0586,-0.245,0.2983,301.84,357.5,36.55,342.58
-0.9329,0.3212,0.1131,0.1165,15.65,39.16,17.02,343.87
-0.4735,0.7399,0.4684,0.094,35.45,124.08,55.2,342.68
-0.1726,0.8037,0.4422,0.3588,309.81,138.94,67.16,350.34
-0.0743,0.7176,0.4772,0.5017,279.03,129.67,86.91,358.83
-0.1515,0.7347,0.5777,0.3219,325.34,141.49,82.45,2.64
-0.2339,0.809,0.5391,0.0152,26.31,156.08,64.56,359.15
-0.2303,0.849,0.422,-0.2193,69.04,165.52,48.34,353.59
-0.0439,0.8743,0.4261,-0.2283,51.78,187.52,53.69,354.23
0.2374,0.8047,0.4518,-0.3032,31.74,223.0,64.91,355.7
0.3645,0.6588,0.4457,-0.4842,36.5,253.77,81.9,358.91
0.3994,0.6135,0.3872,-0.5605,44.47,266.75,85.55,358.04
0.4263,0.5904,0.296,-0.6181,57.04,278.35,86.04,355.08
0.4507,0.5971,0.2476,-0.6156,61.59,281.02,82.01,356.53
0.4957,0.6154,0.2507,-0.5593,52.18,277.48,73.92,359.15
0.4755,0.7012,0.1826,-0.4988,63.46,266.62,59.18,358.24
0.3557,0.8285,0.1118,-0.4178,75.57,239.77,37.63,357.89
0.0802,0.9241,-0.0007,-0.3735,87.34,191.78,4.65,356.82
-0.1649,0.9295,0.026,-0.3289,76.62,158.35,355.61,348.69
-0.129,0.9298,0.0513,-0.3409,80.66,164.4,0.55,348.03
-0.0528,0.8219,0.1725,-0.5403,130.01,193.63,32.41,343.41
-0.0195,0.5414,0.3576,-0.7607,113.77,286.82,139.13,345.34
0.0226,0.3084,0.5779,-0.7553,52.17,279.09,154.22,348.01
0.1084,0.1518,0.721,-0.6674,5.31,265.08,158.66,347.37
0.2057,-0.0512,0.7959,-0.5672,314.65,252.85,170.53,349.99
0.2558,-0.146,0.8585,-0.4197,291.65,231.34,182.49,349.27
0.1445,-0.1816,0.9643,-0.1279,322.06,191.85,199.34,354.49
0.0605,-0.259,0.9548,0.1331,354.65,163.39,210.74,5.02
-0.0579,-0.3572,0.882,0.3019,37.05,148.8,218.87,10.11
-0.1543,-0.3663,0.81,0.4312,68.93,134.76,213.94,24.7
-0.099,-0.4087,0.7705,0.479,65.93,128.43,219.62,22.66
-0.013,-0.4231,0.7395,0.5234,55.03,120.62,223.65,23.84
0.1264,-0.4597,0.631,0.612,47.56,103.84,233.41,28.79
0.2952,-0.4812,0.4791,0.6722,42.7,85.2,247.08,23.34
0.393,-0.4849,0.3509,0.6981,47.32,71.97,256.05,25.69
0.3548,-0.5104,0.2194,0.752,75.46,61.06,253.3,17.01
0.3606,-0.4382,0.1933,0.8003,68.39,49.14,244.52,30.26
0.3254,-0.4305,0.2656,0.7989,61.99,55.27,240.84,29.32
0.2919,-0.49,0.3458,0.7451,63.78,70.7,245.7,21.29
0.3011,-0.5564,0.4259,0.6468,55.2,88.83,256.98,29.05
0.3212,-0.5677,0.433,0.6221,50.7,91.25,260.51,21.47
0.3723,-0.6241,0.4259,0.539,41.67,98.73,273.45,17.1
0.3821,-0.6995,0.3961,0.4559,39.15,108.07,286.69,18.84
0.2031,-0.7828,0.4785,0.3422,39.91,136.64,289.13,22.15
0.0397,-0.8007,0.5349,0.2667,45.24,157.8,288.02,16.54
-0.0661,-0.8297,0.5391,0.1286,33.09,178.27,293.72,20.67
-0.1062,-0.869,0.4832,-0.0092,9.94,191.2,302.33,22.06
-0.1539,-0.849,0.5043,-0.0343,11.14,197.3,299.42,11.49
-0.1761,-0.8546,0.4845,-0.0624,7.34,201.23,301.58,16.78
-0.2502,-0.8592,0.4188,-0.1543,353.63,214.06,307.05,18.01
