24683192, 0.51, 0.16, -0.87, -0.10, -1.98, -0.02, 2.05
24683227, 0.50, 0.15, -0.88, -0.28, -0.95, 0.08, 2.05
24683262, 0.50, 0.15, -0.88, -0.40, -1.39, -0.13, 2.39
24683297, 0.51, 0.15, -0.88, -0.58, -0.93, -0.20, 4.09
24683332, 0.51, 0.16, -0.87, -0.50, -1.62, -0.08, 1.88
24683367, 0.51, 0.16, -0.89, -0.41, -2.11, -0.08, 2.91
24683402, 0.50, 0.15, -0.89, -0.42, -0.09, 0.08, 351.33
24683437, 0.51, 0.15, -0.88, -0.17, -0.78, 0.03, 0.00
24683472, 0.50, 0.15, -0.89, -0.20, -1.66, -0.21, 351.87
24683507, 0.51, 0.15, -0.88, -0.37, -0.50, 0.21, 353.23
24683542, 0.51, 0.15, -0.89, -0.41, -1.79, -0.16, 3.01
24683577, 0.51, 0.16, -0.90, -0.69, -1.33, -0.30, 2.77
24683612, 0.51, 0.15, -0.88, -0.73, -0.23, -0.19, 352.53
24683647, 0.51, 0.15, -0.89, -0.24, -1.23, 0.14, 357.99
24683682, 0.52, 0.15, -0.88, 0.08, -1.31, 0.18, 347.37
24683717, 0.51, 0.16, -0.88, -0.52, -0.69, 0.06, 0.00
24683751, 0.50, 0.15, -0.88, -0.40, -1.05, -0.02, 352.75
24683786, 0.51, 0.15, -0.88, -0.53, -0.90, 0.05, 354.40
24683821, 0.51, 0.15, -0.88, -0.55, -1.42, 0.02, 348.91
24683873, 0.51, 0.16, -0.89, -0.46, -1.89, -0.13, 351.87
24683891, 0.50, 0.15, -0.88, -0.33, -1.69, -0.12, 8.39
24683927, 0.50, 0.17, -0.88, -0.31, -1.56, -0.05, 358.06
24683962, 0.51, 0.15, -0.89, -0.34, -1.50, -0.05, 2.16
24683997, 0.51, 0.15, -0.88, -0.27, -0.75, 0.02, 3.01
24684031, 0.50, 0.15, -0.87, -0.27, -1.31, 0.02, 356.63
24684066, 0.51, 0.15, -0.87, -0.36, -1.12, -0.08, 1.04
24684101, 0.50, 0.15, -0.87, -0.55, -1.08, -0.03, 0.97
24684136, 0.51, 0.15, -0.89, -0.39, -1.27, 0.09, 6.58
24684171, 0.50, 0.15, -0.89, -0.30, -1.56, 0.08, 0.00
24684206, 0.51, 0.15, -0.89, -0.18, -2.25, 0.03, 353.23
24684241, 0.50, 0.15, -0.88, -0.31, -0.30, 0.02, 0.00
24684276, 0.51, 0.15, -0.87, -0.54, -0.31, 0.06, 354.90
24684311, 0.51, 0.15, -0.89, -0.58, -1.73, -0.30, 0.00
24684346, 0.51, 0.16, -0.89, -0.47, -0.71, -0.04, 357.92
24684380, 0.51, 0.16, -0.88, -0.29, -1.66, -0.02, 356.93
24684415, 0.50, 0.16, -0.88, -0.32, -1.56, -0.08, 358.21
24684450, 0.51, 0.16, -0.88, -0.25, -0.35, 0.15, 356.27
24684486, 0.50, 0.16, -0.87, -0.04, -1.09, 0.04, 0.00
24684520, 0.51, 0.16, -0.89, -0.04, -1.38, 0.21, 357.04
24684555, 0.51, 0.16, -0.88, -0.38, -0.87, 0.00, 2.25
24684591, 0.50, 0.16, -0.89, -0.57, -1.27, -0.24, 3.01
24684626, 0.51, 0.15, -0.89, -0.29, -0.87, -0.08, 5.36
24684661, 0.51, 0.15, -0.88, -0.43, -1.56, -0.11, 356.12
24684696, 0.50, 0.15, -0.89, -0.36, -1.78, -0.03, 354.05
