27060640, -0.02, -0.12, 1.00, -2.53, 0.79, -0.55, 18.75, 20.56, -30.31
27060676, -0.01, -0.13, 1.00, -2.55, 0.75, -0.63, 20.41, 22.96, -31.81
27060710, -0.02, -0.13, 1.00, -2.48, 0.75, -0.57, 19.05, 22.36, -32.41
27060745, -0.02, -0.12, 1.01, -2.59, 0.75, -0.47, 18.45, 22.21, -32.56
27060781, -0.02, -0.12, 0.99, -2.53, 0.70, -0.47, 18.90, 21.76, -31.81
27060815, -0.02, -0.13, 1.00, -2.53, 0.65, -0.48, 18.45, 21.76, -32.56
27060850, -0.02, -0.13, 1.00, -2.57, 0.69, -0.52, 19.50, 21.61, -31.66
27060885, -0.03, -0.12, 0.99, -2.73, 0.68, -0.57, 17.55, 22.06, -32.11
27060920, -0.02, -0.13, 1.01, -2.52, 0.82, -0.62, 18.90, 23.71, -31.81
27060955, -0.02, -0.12, 1.01, -2.54, 0.72, -0.53, 18.15, 21.76, -32.86
27060990, -0.01, -0.12, 1.00, -2.60, 0.58, -0.65, 18.00, 20.86, -31.66
27061025, -0.02, -0.13, 1.00, -2.56, 0.83, -0.53, 19.50, 22.06, -32.41
27061059, -0.02, -0.12, 0.99, -2.50, 0.79, -0.63, 18.90, 20.71, -33.31
27061095, -0.01, -0.12, 1.00, -2.61, 0.77, -0.54, 18.30, 22.06, -32.11
27061130, -0.01, -0.13, 1.00, -2.58, 0.65, -0.61, 19.05, 20.86, -33.76
27061165, -0.02, -0.12, 1.00, -2.54, 0.63, -0.62, 20.11, 22.06, -30.91
27061200, -0.02, -0.11, 1.00, -2.60, 0.67, -0.51, 19.95, 23.26, -31.51
27061234, -0.02, -0.13, 1.00, -2.69, 0.69, -0.59, 17.25, 20.86, -32.71
27061270, -0.03, -0.12, 1.01, -2.60, 0.66, -0.57, 19.50, 20.86, -32.11
27061305, -0.01, -0.13, 1.02, -2.53, 0.68, -0.58, 18.30, 21.61, -33.76
27061339, -0.02, -0.13, 1.00, -2.44, 0.75, -0.59, 17.10, 21.76, -31.81
27061375, -0.01, -0.12, 0.99, -2.55, 0.76, -0.50, 19.65, 22.21, -33.31
27061409, -0.02, -0.13, 1.00, -2.56, 0.75, -0.60, 18.75, 22.36, -30.91
27061444, -0.01, -0.12, 1.00, -2.51, 0.89, -0.61, 19.65, 22.21, -32.86
27061479, -0.02, -0.12, 1.01, -2.49, 0.75, -0.53, 18.15, 22.51, -32.86
27061514, -0.01, -0.13, 1.01, -2.51, 0.69, -0.63, 18.30, 22.36, -32.11
27061549, -0.02, -0.12, 1.00, -2.52, 0.66, -0.61, 19.65, 22.21, -31.21
27061584, -0.02, -0.12, 1.00, -2.49, 0.70, -0.51, 17.25, 20.86, -33.16
27061619, -0.02, -0.12, 1.01, -2.56, 0.76, -0.54, 18.15, 22.21, -32.26
27061654, -0.01, -0.12, 1.00, -2.58, 0.75, -0.62, 18.45, 23.26, -32.56
27061688, -0.02, -0.13, 1.02, -2.65, 0.72, -0.41, 19.20, 22.96, -32.56
27061724, -0.02, -0.12, 1.00, -2.50, 0.62, -0.45, 17.70, 21.16, -31.51
27061759, -0.01, -0.12, 1.00, -2.50, 0.60, -0.59, 18.30, 21.61, -32.41
27061794, -0.01, -0.13, 1.02, -2.57, 0.69, -0.52, 18.15, 21.46, -32.86
27061829, -0.02, -0.12, 1.00, -2.65, 0.82, -0.56, 17.70, 21.76, -31.81
27061863, -0.01, -0.12, 1.01, -2.53, 0.67, -0.50, 18.30, 22.06, -33.46
27061899, -0.03, -0.12, 0.99, -2.50, 0.79, -0.58, 18.00, 21.31, -32.11
27061934, -0.02, -0.12, 1.01, -2.43, 0.76, -0.63, 19.05, 22.36, -32.41
27061968, -0.02, -0.13, 1.01, -2.50, 0.67, -0.57, 18.45, 21.46, -32.26
27062004, -0.02, -0.12, 1.00, -2.49, 0.65, -0.63, 18.00, 21.61, -32.11
27062038, -0.02, -0.12, 1.01, -2.53, 0.86, -0.64, 18.30, 21.31, -33.16
27062073, -0.01, -0.12, 1.01, -2.58, 0.61, -0.56, 18.30, 22.06, -31.36
27062108, -0.01, -0.11, 1.00, -2.56, 0.80, -0.53, 17.25, 21.31, -32.71
27062143, -0.01, -0.12, 0.98, -2.56, 0.77, -0.54, 19.20, 21.46, -32.56
27062178, -0.01, -0.12, 0.99, -2.57, 0.68, -0.45, 18.90, 22.96, -32.56
27062213, -0.01, -0.12, 1.01, -2.50, 0.73, -0.57, 20.41, 21.76, -33.31
27062248, -0.02, -0.12, 1.00, -2.61, 0.75, -0.55, 18.45, 22.51, -31.51
27062283, -0.01, -0.13, 0.99, -2.56, 0.53, -0.63, 19.20, 22.96, -32.86
27062317, -0.02, -0.12, 1.00, -2.63, 0.75, -0.62, 18.00, 21.61, -30.91
27062353, -0.02, -0.12, 1.00, -2.53, 0.66, -0.55, 19.65, 22.21, -31.81
27062388, -0.02, -0.12, 1.00, -2.60, 0.79, -0.63, 18.45, 22.51, -32.26
27062423, -0.01, -0.12, 1.00, -2.58, 0.68, -0.58, 19.95, 22.21, -32.86
27062458, -0.02, -0.12, 1.00, -2.41, 0.66, -0.56, 17.55, 20.86, -33.76
27062492, -0.02, -0.12, 0.99, -2.59, 0.82, -0.53, 20.11, 21.61, -32.71
27062527, -0.02, -0.11, 0.99, -2.56, 0.63, -0.60, 17.70, 21.16, -33.61
27062563, -0.01, -0.12, 1.02, -2.61, 0.72, -0.55, 17.55, 21.31, -33.16
27062597, -0.01, -0.13, 1.00, -2.65, 0.66, -0.56, 18.00, 22.36, -30.61
27062632, -0.01, -0.12, 1.00, -2.55, 0.87, -0.59, 18.15, 23.26, -32.86
27062668, -0.02, -0.12, 1.00, -2.61, 0.63, -0.52, 19.95, 22.21, -33.61
27062702, -0.02, -0.12, 1.00, -2.53, 0.68, -0.52, 18.15, 21.76, -33.61
27062737, -0.02, -0.12, 1.00, -2.54, 0.58, -0.56, 18.30, 22.06, -32.41
27062772, -0.01, -0.12, 0.99, -2.51, 0.82, -0.66, 19.65, 21.76, -33.61
27062807, -0.01, -0.12, 1.01, -2.56, 0.76, -0.64, 18.15, 22.21, -31.81
27062842, -0.02, -0.12, 1.00, -2.65, 0.72, -0.53, 18.75, 22.06, -31.66
27062877, -0.02, -0.12, 1.01, -2.40, 0.72, -0.61, 19.65, 22.96, -31.21
27062912, -0.01, -0.12, 1.00, -2.54, 0.72, -0.63, 18.00, 22.06, -33.46
27062947, -0.01, -0.13, 1.00, -2.53, 0.60, -0.54, 17.70, 22.21, -32.56
27062982, -0.03, -0.12, 1.00, -2.60, 0.72, -0.50, 19.65, 23.71, -31.81
27063017, -0.02, -0.12, 1.00, -2.55, 0.63, -0.65, 19.95, 22.21, -31.51
27063051, -0.02, -0.13, 1.00, -2.58, 0.75, -0.50, 19.05, 22.06, -32.41
27063087, -0.01, -0.13, 1.00, -2.61, 0.78, -0.46, 19.50, 23.11, -32.41
27063122, -0.02, -0.12, 1.00, -2.50, 0.73, -0.53, 18.45, 21.46, -31.21
27063156, -0.01, -0.13, 1.00, -2.53, 0.78, -0.58, 19.80, 22.06, -32.71
27063192, -0.01, -0.12, 0.99, -2.63, 0.63, -0.64, 18.90, 21.76, -31.51
27063226, -0.03, -0.12, 1.01, -2.51, 0.69, -0.66, 18.15, 21.46, -32.26
27063261, -0.01, -0.11, 1.00, -2.53, 0.70, -0.60, 19.65, 21.46, -32.86
27063297, -0.02, -0.13, 1.01, -2.51, 0.73, -0.69, 19.20, 21.16, -31.81
27063331, -0.02, -0.12, 0.99, -2.56, 0.73, -0.58, 19.20, 21.46, -32.86
27063366, -0.02, -0.12, 1.01, -2.57, 0.66, -0.57, 18.30, 21.61, -32.71
27063401, -0.02, -0.13, 1.01, -2.63, 0.66, -0.50, 19.05, 22.81, -31.66
27063436, -0.02, -0.12, 1.01, -2.66, 0.65, -0.52, 19.80, 20.86, -33.16
27063471, -0.01, -0.11, 1.00, -2.50, 0.69, -0.50, 18.75, 21.61, -32.71
27063506, -0.01, -0.12, 0.99, -2.38, 0.75, -0.62, 18.30, 22.81, -32.71
27063541, -0.02, -0.11, 1.01, -2.56, 0.62, -0.60, 17.70, 21.76, -32.56
27063576, -0.01, -0.12, 0.99, -2.49, 0.70, -0.65, 19.20, 21.76, -32.26
27063610, -0.02, -0.12, 1.00, -2.68, 0.82, -0.67, 18.75, 23.11, -31.66
27063646, -0.02, -0.12, 1.00, -2.61, 0.67, -0.59, 17.70, 20.41, -32.26
27063681, -0.01, -0.13, 0.99, -2.60, 0.72, -0.64, 19.05, 23.11, -31.36
27063715, -0.02, -0.12, 0.99, -2.58, 0.69, -0.51, 19.50, 22.06, -32.11
27063751, -0.02, -0.12, 1.01, -2.66, 0.69, -0.68, 19.65, 23.71, -32.56
27063785, -0.01, -0.13, 0.99, -2.50, 0.75, -0.47, 19.50, 23.11, -32.71
27063820, -0.01, -0.12, 1.01, -2.53, 0.65, -0.46, 18.30, 21.31, -32.41
27063856, -0.02, -0.12, 1.00, -2.55, 0.65, -0.52, 18.00, 20.11, -32.41
27063890, -0.02, -0.12, 0.99, -2.55, 0.75, -0.52, 18.00, 22.81, -32.11
27063926, -0.03, -0.12, 1.01, -2.50, 0.72, -0.59, 18.75, 21.31, -32.41
27063960, -0.02, -0.12, 0.98, -2.60, 0.62, -0.55, 20.41, 22.51, -33.31
27063995, -0.02, -0.12, 1.01, -2.61, 0.63, -0.56, 19.65, 22.51, -31.51
27064030, -0.01, -0.12, 1.00, -2.55, 0.73, -0.63, 19.05, 22.81, -32.71
